2025-04-20 14:57:07 ----- Starting train script in mode: train -----
2025-04-20 14:57:07 Loading datasets...
2025-04-20 14:57:30 Train dataset size: 1276964
2025-04-20 14:57:30 Validation dataset size: 300944
2025-04-20 14:57:40.858791: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /apps/miniconda3/4.10.3-py37/lib:/opt/mvapich2/intel/19.0/2.3.3/lib:/apps/gnu/8.4.0/lib64:/apps/gnu/8.4.0/lib:/opt/intel/19.0.5/debugger_2019/libipt/intel64/lib:/opt/intel/19.0.5/compilers_and_libraries_2019/linux/lib/intel64_lin:/opt/intel/19.0.5/compilers_and_libraries_2019/linux/daal/lib/intel64_lin:/opt/intel/19.0.5/compilers_and_libraries_2019/linux/ipp/lib/intel64_lin:/opt/intel/19.0.5/compilers_and_libraries_2019/linux/mkl/lib/intel64_lin:/opt/intel/19.0.5/compilers_and_libraries_2019/linux/tbb/lib/intel64_lin/gcc4.4:/opt/ddn/cci/lib:/opt/ddn/ime/lib:/opt/ddn/isa-l/lib
2025-04-20 14:57:40.858854: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2025-04-20 14:57:45 Starting training for 50 epochs
2025-04-20 14:57:45 Training on device: cuda
/fs/scratch/PAS2985/team11/Pytorch-SiamFC/training/losses.py:48: UserWarning: Using a target size (torch.Size([8, 33, 33])) that is different to the input size (torch.Size([8, 8, 33, 33])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  pos_loss = F.mse_loss(pred * pos_mask, target * pos_mask, reduction='sum') / pos_num
/fs/scratch/PAS2985/team11/Pytorch-SiamFC/training/losses.py:49: UserWarning: Using a target size (torch.Size([8, 33, 33])) that is different to the input size (torch.Size([8, 8, 33, 33])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  neg_loss = F.mse_loss(pred * neg_mask, target * neg_mask, reduction='sum') / neg_num
2025-04-20 14:57:48 Epoch 1, Batch 10/159621, Loss: 2.7299
2025-04-20 14:57:48 Epoch 1, Batch 20/159621, Loss: 1.2833
2025-04-20 14:57:49 Epoch 1, Batch 30/159621, Loss: 0.9748
2025-04-20 14:57:49 Epoch 1, Batch 40/159621, Loss: 1.0031
2025-04-20 14:57:49 Epoch 1, Batch 50/159621, Loss: 0.6852
2025-04-20 14:57:50 Epoch 1, Batch 60/159621, Loss: 0.7971
2025-04-20 14:57:50 Epoch 1, Batch 70/159621, Loss: 0.7691
2025-04-20 14:57:51 Epoch 1, Batch 80/159621, Loss: 0.8687
2025-04-20 14:57:51 Epoch 1, Batch 90/159621, Loss: 0.6212
2025-04-20 14:57:51 Epoch 1, Batch 100/159621, Loss: 0.5869
2025-04-20 14:57:52 Epoch 1, Batch 110/159621, Loss: 0.8240
2025-04-20 14:57:52 Epoch 1, Batch 120/159621, Loss: 0.7123
2025-04-20 14:57:52 Epoch 1, Batch 130/159621, Loss: 0.5672
2025-04-20 14:57:53 Epoch 1, Batch 140/159621, Loss: 0.7318
2025-04-20 14:57:53 Epoch 1, Batch 150/159621, Loss: 0.7986
2025-04-20 14:57:54 Epoch 1, Batch 160/159621, Loss: 0.9321
2025-04-20 14:57:54 Epoch 1, Batch 170/159621, Loss: 0.5569
2025-04-20 14:57:54 Epoch 1, Batch 180/159621, Loss: 0.7137
2025-04-20 14:57:55 Epoch 1, Batch 190/159621, Loss: 0.7522
2025-04-20 14:57:55 Epoch 1, Batch 200/159621, Loss: 0.8738
2025-04-20 14:57:55 Epoch 1, Batch 210/159621, Loss: 0.7108
2025-04-20 14:57:56 Epoch 1, Batch 220/159621, Loss: 0.5258
2025-04-20 14:57:56 Epoch 1, Batch 230/159621, Loss: 0.5240
2025-04-20 14:57:57 Epoch 1, Batch 240/159621, Loss: 0.7309
2025-04-20 14:57:57 Epoch 1, Batch 250/159621, Loss: 0.5093
2025-04-20 14:57:57 Epoch 1, Batch 260/159621, Loss: 0.8834
2025-04-20 14:57:58 Epoch 1, Batch 270/159621, Loss: 0.6482
2025-04-20 14:57:58 Epoch 1, Batch 280/159621, Loss: 0.8652
2025-04-20 14:57:58 Epoch 1, Batch 290/159621, Loss: 0.5625
2025-04-20 14:57:59 Epoch 1, Batch 300/159621, Loss: 0.4564
2025-04-20 14:57:59 Epoch 1, Batch 310/159621, Loss: 0.7318
2025-04-20 14:58:00 Epoch 1, Batch 320/159621, Loss: 0.4763
